Species	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
clusterset995	-1	3	-1	3	0	-1	3	3	3	3	3
clusterset992	-1	0	1	1	1	0	1	1	1	1	1
clusterset983	0	-1	-1	-1	0	4	1	4	4	4	1
clusterset977	-1	2	2	2	4	3	3	3	3	2	2
clusterset971	-1	-1	1	1	4	0	4	4	4	4	4
clusterset962	-1	-1	0	4	2	2	2	2	2	2	2
clusterset953	-1	-1	-1	-1	4	4	4	4	4	2	2
clusterset950	4	2	2	2	2	2	2	2	2	2	4
clusterset947	-1	3	3	3	3	4	-1	3	3	3	3
clusterset944	-1	-1	-1	-1	2	3	3	3	2	2	2
clusterset941	-1	3	3	3	2	7	-1	7	7	7	7
clusterset938	-1	-1	5	5	-1	-1	5	5	5	5	5
clusterset934	-1	3	3	3	3	-1	-1	-1	3	3	3
clusterset931	0	0	1	1	0	4	4	4	4	4	4
clusterset766	-1	7	0	7	0	7	7	7	7	7	7
clusterset761	-1	3	-1	3	-1	7	7	7	7	7	7
clusterset752	7	6	7	6	6	6	6	6	6	6	6
clusterset748	-1	6	0	6	7	0	3	6	6	6	6
clusterset744	4	1	1	1	4	4	4	4	4	4	4
clusterset741	-1	3	-1	3	6	6	0	6	6	6	6
clusterset737	-1	4	4	4	0	1	0	1	1	4	4
clusterset730	1	0	1	1	1	1	1	1	1	1	1
clusterset688	-1	-1	-1	-1	6	6	6	6	6	6	6
clusterset682	-1	0	2	2	2	0	2	2	2	2	2
clusterset669	3	0	0	3	-1	3	3	3	3	3	3
clusterset659	-1	7	7	7	5	-1	5	5	5	5	5
clusterset653	7	7	-1	7	-1	7	7	7	7	7	7
clusterset651	0	4	0	4	-1	4	4	4	4	4	4
clusterset643	3	0	4	4	2	2	2	2	2	2	3
clusterset641	-1	5	5	5	5	-1	-1	-1	5	5	5
clusterset632	-1	0	-1	3	-1	4	3	3	3	3	3
clusterset601	2	2	2	2	-1	-1	-1	-1	-1	2	2
clusterset594	-1	-1	-1	-1	-1	2	2	2	2	4	4
clusterset590	7	7	7	7	-1	-1	-1	-1	-1	7	7
clusterset561	3	3	4	3	0	0	0	3	3	3	3
clusterset542	-1	-1	2	2	-1	-1	4	4	4	2	2
clusterset535	-1	-1	0	2	-1	3	-1	3	3	2	2
clusterset521	-1	7	0	7	-1	-1	7	7	7	7	7
clusterset519	7	7	0	7	0	7	0	7	7	7	7
clusterset508	0	2	2	2	1	2	2	2	2	2	2
clusterset506	-1	-1	2	2	4	-1	0	4	4	4	4
clusterset499	1	4	0	4	4	4	4	4	4	4	1
clusterset1061	0	5	0	5	-1	5	5	5	5	5	5
clusterset1055	4	0	0	4	4	-1	4	4	4	4	4
clusterset1053	-1	0	2	2	2	4	2	2	2	2	2
clusterset1047	3	2	2	2	4	4	4	4	4	2	3
clusterset1031	-1	2	2	2	2	3	3	3	2	2	2
clusterset1028	-1	-1	-1	-1	3	3	3	3	3	3	3
clusterset1026	-1	6	7	6	6	7	6	6	6	6	6
clusterset1022	-1	3	0	3	-1	6	-1	6	6	6	6
clusterset1020	5	5	5	5	5	5	5	5	5	5	5
clusterset1013	2	2	2	2	3	3	3	3	3	2	2
clusterset1009	4	0	4	4	-1	0	4	4	4	4	4
clusterset1006	-1	-1	1	4	4	4	-1	4	4	4	1
clusterset1004	-1	3	3	3	0	6	-1	6	6	6	6
