Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSBTAG00000014555	-0.13278	0.133389	0.184772	0.66708	-0.634141	-0.403091	0.184772	-0.573586	-0.535082	0.764901	1.0404	-0.582782	-0.0237717	-0.0900817
ENSBTAG00000014560	0.022963	0.212886	-0.159434	-0.5649	0.422914	-0.018163	0.0837373	-0.020832	-0.717452	0.611128	0.711328	1.20859	-0.627255	-1.16551
ENSBTAG00000014567	0.220161	0.0465017	-0.117039	-0.0656557	-0.614258	-0.074096	0.604387	-0.0320447	-0.26921	0.286459	-0.230406	-0.266478	0.0132223	0.498456
ENSBTAG00000014572	0.345539	0.446523	0.318859	-0.352776	-0.679719	0.199967	-0.278394	0.071102	0.40892	0.531495	0.604849	-1.05589	-0.0410553	-0.519416
ENSBTAG00000014575	0.623746	0.0872663	-0.083009	-0.218164	-0.0478887	-1.04647	0.68452	-0.19878	-0.564983	0.703902	-0.564983	0.167424	-0.564983	1.02241
ENSBTAG00000014576	-0.145318	-0.354855	-0.0494243	0.107244	0.570208	0.824254	-0.952108	-0.7135	-0.7135	0.837817	-0.177022	1.00809	0.471613	-0.7135
ENSBTAG00000014580	0.593987	-0.101816	0.272294	0.227783	0.0805057	-0.420854	-0.651903	-0.729887	0.750994	-1.16298	0.0221327	0.13429	0.08025	0.905202
ENSBTAG00000014581	0.224838	0.180328	0.700544	-0.102106	0.29922	-0.46831	-0.834514	-0.987041	0.930479	-0.0843597	0.281844	-0.450563	-0.254634	0.564276
ENSBTAG00000014587	-0.566314	0.734344	0.397144	-0.074346	0.201214	-0.0298347	-0.662209	-0.605721	-0.971924	1.2641	-0.605721	0.325347	0.467235	0.126686
ENSBTAG00000014589	0.00166467	0.261718	-0.221893	0.0212783	0.127429	-0.492204	0.302005	0.120371	-0.416107	-0.0499033	-0.220178	0.749394	-0.416107	0.232529
ENSBTAG00000014596	0.194933	-0.707751	0.0152673	0.413241	0.416591	-0.00434633	-0.327939	-0.630502	-0.800776	-0.152141	0.769732	-0.460227	0.420409	0.853503
ENSBTAG00000014599	-0.732598	-0.000188667	0.282244	0.265981	0.660571	-0.450165	-0.0258423	-0.482657	0.336253	-0.200225	0.336253	1.17162	-0.678586	-0.482657
ENSBTAG00000014600	0.289022	0.0596787	0.079486	0.268458	-0.0875987	-0.043088	-0.56596	0.433677	-0.581162	-0.214958	0.263403	0.500568	0.0674737	-0.469004
ENSBTAG00000014602	0.0455777	0.489845	-0.134089	-0.0895777	0.351008	-0.477295	-0.185472	0.419282	0.240234	-0.380016	-1.19893	0.182117	0.558738	0.178572
ENSBTAG00000014608	-0.57369	-0.438534	0.215353	0.254614	-0.246747	0.730319	0.0586843	0.324484	-1.14033	0.706756	0.25113	-0.0586007	-0.0417193	-0.0417193
ENSBTAG00000014611	0.281974	-0.0748393	-0.11935	0.544793	0.172473	-0.842369	0.037318	0.651954	-0.0327533	-0.119256	-0.0327533	0.163176	-0.144911	-0.48546
ENSBTAG00000014612	0.253406	-0.00603	0.344244	-0.0879013	-0.311459	-0.430351	0.238093	0.721958	0.333017	-1.34379	0.300068	-0.0492537	0.470344	-0.432339
ENSBTAG00000014614	-0.203345	-0.626182	-0.761337	0.288624	0.7386	0.214243	0.349398	-0.462176	-1.05079	0.501431	0.723108	0.395321	0.413408	-0.520295
ENSBTAG00000014615	-0.45727	-0.749094	0.214365	0.698842	0.410294	0.169854	-0.286995	-0.383503	0.133362	-0.36389	0.448742	0.47148	0.622565	-0.928754
ENSBTAG00000014619	0.223765	-0.251941	-0.849195	0.627745	-0.251941	0.165647	0.335922	1.20928	0.681994	-0.249073	0.399562	-0.615277	-0.98148	-0.445002
ENSBTAG00000014620	0.149899	0.0675023	-0.263582	-0.546015	0.163396	0.124135	0.304667	-0.0937377	-0.186283	-0.016008	0.471126	0.621788	-0.186283	-0.610603
ENSBTAG00000014628	0.034844	-0.387993	0.20926	-0.156944	-0.423114	0.074105	0.649843	0.398813	0.351114	-1.66937	0.135994	-0.570759	0.910124	0.44408
ENSBTAG00000014632	-0.018253	-0.0155213	0.152022	0.112761	0.40226	-0.50749	-0.125779	0.420008	0.28896	0.327464	-0.15333	0.00652733	-0.247519	-0.642108
ENSBTAG00000014636	-0.22305	0.422396	0.18093	-0.027121	-0.005608	-0.185274	-0.162276	-0.0497143	0.735836	0.383379	0.589726	-0.782121	-0.528075	-0.349028
ENSBTAG00000014638	0.343972	-0.362783	0.18996	0.395355	-0.237018	0.325115	-0.654606	1.21478	-0.909088	-0.37261	-0.37261	0.426687	0.189522	-0.176681
ENSBTAG00000014642	0.050561	-0.558815	0.0290483	-0.15749	-0.0317257	0.089822	0.5786	-1.28154	0.565546	0.996016	0.109921	-0.915335	0.392353	0.133034
ENSBTAG00000014643	0.317815	-0.139193	-0.154699	0.216754	0.330395	-0.476393	-0.094683	1.3332	0.629333	-1.56291	0.5122	-0.265643	-0.181872	-0.464304
ENSBTAG00000014645	-0.613303	0.079845	0.154226	-0.0768233	0.032678	0.417045	0.00633	-0.352465	0.693472	0.963504	0.492101	0.321825	-0.693014	-1.42542
ENSBTAG00000014651	-0.383125	-0.78445	0.25339	-0.0614307	-0.039918	0.381054	0.634482	-0.480306	0.450761	-0.0275997	0.338604	0.0561717	0.338604	-0.676235
ENSBTAG00000014652	0.511891	0.352034	0.643857	0.511892	-0.904274	-0.0759703	-1.03943	-0.209582	0.221079	0.74714	-0.379857	-0.267699	0.268779	-0.379857
ENSBTAG00000014655	-0.122634	-0.055258	0.200959	0.384306	-0.119978	-0.598339	0.310946	-0.003538	-0.0616553	-1.24677	0.144691	0.144691	0.38832	0.634258
ENSBTAG00000014657	-0.822882	1.40843	1.17092	-0.822883	-1.05393	0.175696	-0.0553537	-0.274652	-0.640855	0.723306	-0.104377	-0.640855	0.00778	0.929653
ENSBTAG00000014659	-0.136296	-0.136296	0.281292	-0.733549	0.0339797	0.365064	0.325803	-0.188043	0.479485	0.178161	-1.48531	0.590854	0.554783	-0.129926
ENSBTAG00000014663	-0.0389633	-0.906528	-0.0483537	0.0690533	0.509637	0.152825	0.262326	-0.795641	0.44759	1.0185	0.277315	-0.429437	-0.795641	0.277315
ENSBTAG00000014666	-0.155123	0.417427	-0.318663	0.224418	0.430008	-0.915918	0.317851	-1.59247	-0.124921	0.176402	0.232087	0.869894	0.695697	-0.256692
ENSBTAG00000014667	-0.341129	0.0858497	-0.437023	-0.511404	0.15084	0.988531	0.0643367	-0.137459	-0.137459	-0.137459	-1.06853	-0.898252	1.06099	1.31816
ENSBTAG00000014674	-0.880015	-0.343534	-0.24764	0.0834437	0.668116	0.449648	0.269982	-0.762605	-0.762605	-0.396401	0.581156	0.835989	-0.396401	0.90087
ENSBTAG00000014678	0.31127	-0.148504	0.24438	0.221382	-0.379553	0.0698043	-0.318779	0.285959	0.0900303	-1.09508	0.266346	0.671353	-0.250519	0.031913
ENSBTAG00000014679	-0.50439	0.188758	-0.73544	-0.00717167	-0.453007	0.821131	0.690117	-0.14834	-0.880747	-0.710473	0.521919	0.862954	0.698956	-0.344269
ENSBTAG00000014682	0.10388	-0.0972983	0.266174	0.254542	-0.104171	-0.431114	0.00798633	0.660015	0.660015	-1.34128	0.21004	-0.0723923	-0.0440063	-0.0723923
ENSBTAG00000014683	-1.04715	0.175743	0.208132	0.43918	-0.620171	0.0122027	0.832065	-0.26307	0.402446	0.329092	0.572722	0.0105883	-0.52589	-0.52589
ENSBTAG00000014698	-0.29362	0.107705	0.634718	0.0725847	-0.412511	0.184742	-0.29362	-0.196758	0.255948	-1.09944	0.554839	0.255948	0.255948	-0.0264837
ENSBTAG00000014699	-0.206419	-0.167157	-0.398207	0.00311767	0.346324	0.442218	-0.0198803	-1.16545	-0.799245	-0.262767	-0.262767	0.366256	1.28813	0.835844
ENSBTAG00000014704	-0.120598	-0.46529	0.267119	-0.024704	0.0266793	0.206345	0.110451	0.34159	0.453747	-1.10634	0.303085	-0.0915043	-0.0915043	0.190928
ENSBTAG00000014705	-0.174615	-0.046951	0.753264	-0.454316	0.131307	-0.0624577	-0.146229	-0.743818	-0.651273	0.354795	0.0530477	0.938386	-0.356935	0.405797
ENSBTAG00000014707	0.006958	-0.240973	-0.674067	0.411964	-0.137588	0.333901	0.299807	-0.793232	0.221608	0.201995	1.76156	0.13037	-1.07566	-0.446641
ENSBTAG00000014710	0.0861713	-0.777253	1.13278	-0.21926	-0.00972267	0.564533	-0.777253	-0.940618	0.132338	-0.0379363	0.610699	0.67759	0.864747	-1.30682
ENSBTAG00000014713	-0.0785727	0.399789	0.309144	0.59306	0.348405	-0.687949	-0.883878	-0.1225	-0.148154	-0.684632	1.06682	0.005725	-0.514358	0.397098
ENSBTAG00000014718	-0.397099	0.084647	0.006125	0.347432	-0.047158	-0.20117	0.207221	-0.642853	0.298333	0.136043	-0.192878	-0.192878	0.298333	0.2959
ENSBTAG00000014719	0.145549	-0.682754	-0.35581	0.964461	0.511753	0.173935	-0.757136	-0.744588	-0.574313	-0.744588	1.33237	0.688594	-0.378384	0.420913
ENSBTAG00000014720	-0.108561	-0.220718	0.286756	0.177256	-0.265229	-0.00240967	0.132905	-0.362825	-0.729029	0.869565	-0.212164	0.003378	0.0871497	0.343927
ENSBTAG00000014721	-0.343646	0.359758	0.157095	0.209096	-0.500314	0.022558	0.0954543	0.217745	-0.572779	-0.206576	-0.206576	-0.0363013	1.01106	-0.206576
ENSBTAG00000014725	-1.15764	0.335561	0.454452	0.319297	0.193533	-0.0982903	-0.046907	0.691528	-0.566518	0.473975	-0.00438567	0.766826	-1.63947	0.278046
