Loci	homo_sapiens	rattus_norvegicus	Anc4	bos_taurus	Anc3
ENSG00000108651	2	2	2	2	2
ENSG00000186952	4	-2	4	2	2
ENSG00000157388	4	4	4	4	4
ENSG00000196338	4	4	4	4	4
ENSG00000003987	4	4	4	1	1
ENSG00000197355	2	1	2	2	2
ENSG00000115268	2	2	2	2	2
ENSG00000204764	2	2	2	4	4
ENSG00000204767	3	4	4	4	4
ENSG00000171703	2	1	2	2	2
ENSG00000115263	4	4	4	4	4
ENSG00000119231	2	-2	2	0	0
ENSG00000115267	2	2	2	1	1
ENSG00000171700	2	1	2	2	2
ENSG00000120156	3	1	1	2	2
ENSG00000116985	4	0	-2	4	-2
ENSG00000047849	3	3	3	1	1
ENSG00000143105	4	4	4	4	4
ENSG00000116984	2	3	3	1	1
ENSG00000004478	3	2	3	3	3
ENSG00000124107	4	4	4	4	4
ENSG00000074621	4	4	4	4	4
ENSG00000212864	0	4	0	0	0
ENSG00000100605	1	0	0	2	2
ENSG00000108389	1	0	1	1	1
ENSG00000049192	4	-2	4	4	4
ENSG00000108384	2	2	2	2	2
ENSG00000171873	4	4	4	4	4
ENSG00000091140	2	2	2	2	2
ENSG00000108381	4	3	4	4	4
ENSG00000153233	4	3	4	4	4
ENSG00000165688	1	1	1	1	1
ENSG00000165689	1	2	2	2	2
ENSG00000108474	0	1	0	2	2
ENSG00000165682	4	4	4	4	4
ENSG00000108479	2	2	2	1	1
ENSG00000166341	1	4	4	4	4
ENSG00000165684	0	0	0	0	0
ENSG00000151835	2	0	0	1	1
ENSG00000237136	1	4	4	-2	4
ENSG00000177042	1	3	1	1	1
ENSG00000129128	3	4	4	3	3
ENSG00000129566	1	2	2	4	4
ENSG00000177045	4	1	4	4	4
ENSG00000153060	4	4	4	4	4
ENSG00000170873	3	3	3	4	4
ENSG00000071677	4	4	4	4	4
ENSG00000115884	3	3	3	3	3
ENSG00000183260	0	3	3	4	4
ENSG00000158006	2	0	0	1	1
ENSG00000272781	4	-2	-2	-2	-2
ENSG00000171476	4	-1	4	4	4
ENSG00000138750	2	2	2	2	2
ENSG00000141232	3	0	3	1	1
ENSG00000138756	1	4	4	4	4
ENSG00000138757	2	3	3	1	1
ENSG00000138755	4	4	4	4	4
ENSG00000172673	4	4	4	4	4
ENSG00000172671	0	4	0	2	2
ENSG00000125454	1	3	4	2	2
ENSG00000180071	1	-2	-2	-2	-2
ENSG00000173818	2	1	2	4	4
ENSG00000139800	4	1	4	4	4
ENSG00000173812	2	4	2	2	2
ENSG00000011638	1	2	2	2	2
ENSG00000136750	4	4	4	4	4
ENSG00000185736	4	-1	4	4	4
ENSG00000182156	4	4	4	2	2
ENSG00000136754	3	2	3	-2	3
ENSG00000115488	3	-2	3	4	4
ENSG00000136758	0	-2	0	1	1
ENSG00000115486	2	3	2	2	2
ENSG00000115484	2	2	2	2	2
ENSG00000129625	3	2	2	2	2
ENSG00000180974	4	4	4	4	4
ENSG00000160688	1	2	1	1	1
ENSG00000196235	1	1	1	1	1
ENSG00000122034	3	2	2	2	2
ENSG00000196236	1	1	1	1	1
ENSG00000010327	2	3	3	1	1
ENSG00000196233	1	4	4	4	4
ENSG00000090097	4	1	1	1	1
ENSG00000213445	0	2	0	0	0
ENSG00000172497	4	4	4	4	4
ENSG00000116014	4	0	4	4	4
ENSG00000116017	1	4	4	4	4
ENSG00000116016	3	3	3	3	3
ENSG00000172493	3	0	3	1	1
ENSG00000187391	1	4	4	-2	4
ENSG00000205496	4	-2	-2	-1	-2
ENSG00000205497	4	-2	4	4	4
ENSG00000157214	1	3	3	4	4
ENSG00000187398	4	4	4	4	4
ENSG00000179071	4	-2	4	4	4
ENSG00000180219	4	4	4	-2	4
ENSG00000173726	2	2	2	2	2
ENSG00000011451	1	0	0	0	0
ENSG00000186047	4	4	4	-2	4
ENSG00000204099	4	4	4	4	4
ENSG00000011454	1	1	1	1	1
ENSG00000186049	4	4	4	4	4
ENSG00000122033	2	2	2	4	4
ENSG00000173728	3	4	3	3	3
ENSG00000175130	3	0	0	2	2
ENSG00000119906	1	-2	1	1	1
ENSG00000180644	4	-2	4	4	4
