Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSRNOG00000047880	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	0.198043	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	-0.033007	0.198042
ENSRNOG00000047891	0.559324	0.568715	0.00658133	-0.604279	-0.128574	-0.434005	0.032235	-0.415392	0.046706	-0.184343	-0.184343	0.64396	0.277755	-0.184343
ENSRNOG00000047906	0.565087	0.0806093	0.45293	-0.42075	-1.06939	-0.010035	0.401546	0.678531	-0.320047	0.0812773	0.097541	-0.320047	-0.224153	0.00689633
ENSRNOG00000047941	-0.0303037	0.104851	0.00481633	0.06559	-0.0303037	-0.56944	0.454792	0.274238	0.766206	0.544548	-0.232371	-0.649959	-0.881008	0.178344
ENSRNOG00000047951	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014	0.396086	-0.066014	-0.18127	-0.18127	-0.18127	-0.18127	-0.18127	0.721414	0.184934
ENSRNOG00000047960	0.170836	0.017518	-0.689236	0.19045	0.748442	0.155329	-0.593343	-0.0976797	-0.232835	-0.925982	0.415803	0.900899	-0.193573	0.13337
ENSRNOG00000047962	0.639168	-0.160131	-0.0600957	0.266848	-0.330406	0.11018	-0.465562	0.143995	0.792632	-0.453258	0.143995	-0.453258	0.143995	-0.318103
ENSRNOG00000047972	0.251829	-0.136755	-0.24204	0.214052	-0.062374	0.172816	-0.197529	-0.332404	0.412126	0.360743	0.06892	-0.110746	-0.23651	-0.162129
ENSRNOG00000048004	-0.0167457	0.228862	0.16292	0.0894057	0.038022	0.027765	-0.530227	-0.36988	-0.234725	0.628697	1.41249	-0.600929	-0.465774	-0.36988
ENSRNOG00000048005	0.823036	0.025636	-0.175543	0.266941	0.30282	-0.859299	-0.383594	-0.865577	-0.133168	0.268156	0.707256	-0.0372743	0.0978807	-0.0372743
ENSRNOG00000048006	-0.418831	0.302595	-0.0620173	0.021753	0.333786	0.127905	-0.305189	-0.663278	-0.014641	0.409681	0.260918	0.335299	-0.432229	0.104251
ENSRNOG00000048009	-0.124663	-0.185437	0.443586	-0.146176	-0.400225	0.0754823	0.337435	-0.6492	0.022435	0.274997	0.118329	0.0575547	0.0575547	0.118329
ENSRNOG00000048035	-0.0711467	0.159903	0.552788	0.105134	-0.238072	-0.578622	0.0700157	0.23516	0.295934	-0.10539	0.125659	-0.837799	0.526983	-0.240545
