OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT2G29590	0	0	4	4	4	2	1	2	4	4	4
AT1G48170	2	0	4	4	4	2	2	2	4	4	4
AT3G15800	4	0	6	3	3	4	0	3	3	3	4
AT2G26980	4	0	4	4	4	1	1	1	1	1	4
OG262_2	0	0	4	4	4	2	0	2	1	1	4
OG509_1	0	0	0	0	2	1	0	1	2	1	4
OG2142_1	0	0	0	0	2	0	0	0	2	1	4
AT3G48070	0	0	1	1	1	0	0	1	1	1	4
AT3G53030	0	1	1	1	1	1	1	1	1	1	4
OG11631_1	0	1	0	1	0	1	0	1	1	1	4
OG696_5	0	0	0	0	0	1	0	1	1	1	4
OG4289_1	0	0	0	0	0	1	0	1	1	1	4
AT2G25680	0	0	0	0	0	0	0	1	1	1	4
OG3459_2	0	0	0	0	0	0	0	1	1	1	4
AT5G01100	0	0	0	0	0	0	0	1	1	1	4
AT4G11080	0	0	0	0	0	0	0	1	1	1	4
AT2G30580	0	0	0	0	0	0	0	1	1	1	4
AT1G49320	0	0	0	0	0	0	1	1	1	1	4
AT5G56450	0	0	0	0	0	0	1	1	1	1	4
AT3G54100	0	0	0	0	0	0	1	1	1	1	4
AT2G37980	0	0	0	0	0	0	1	1	1	1	4
AT5G07890	0	0	0	0	0	0	1	1	1	1	4
AT5G18700	0	0	0	0	0	0	1	1	1	1	4
AT1G06770	0	0	0	0	1	0	1	1	1	1	4
OG960_1	0	0	0	0	1	0	0	0	1	1	4
OG10208_1	0	0	0	0	1	0	0	0	1	1	4
OG1032_3	0	0	0	0	0	0	0	0	1	1	4
OG689_1	0	0	1	1	0	0	0	0	0	1	4
OG2170_2	0	0	0	1	0	0	0	0	0	1	4
OG2884_3	0	0	0	1	0	0	0	0	0	1	4
OG1277_1	0	1	0	1	0	0	0	0	0	1	4
OG1160_2	0	0	0	0	0	0	0	0	0	1	4
OG635_4	0	0	0	0	0	0	0	0	0	0	4
OG2324_1	0	0	0	0	0	0	0	0	0	0	4
OG2372_3	0	0	0	0	0	0	0	0	0	0	4
OG2476_1	0	0	0	0	0	0	0	0	0	0	4
OG2616_1	0	0	0	0	0	0	0	0	0	0	4
OG530_1	0	0	0	0	0	0	0	0	0	0	4
OG2905_3	0	0	0	0	0	0	0	0	0	0	4
OG2985_1	0	0	0	0	0	0	0	0	0	0	4
OG3238_1	0	0	0	0	0	0	0	0	0	0	4
OG3312_3	0	0	0	0	0	0	0	0	0	0	4
OG3321_1	0	0	0	0	0	0	0	0	0	0	4
OG3725_3	0	0	0	0	0	0	0	0	0	0	4
OG3936_1	0	0	0	0	0	0	0	0	0	0	4
OG4054_2	0	0	0	0	0	0	0	0	0	0	4
OG4210_1	0	0	0	0	0	0	0	0	0	0	4
OG4378_2	0	0	0	0	0	0	0	0	0	0	4
OG4529_3	0	0	0	0	0	0	0	0	0	0	4
OG4683_2	0	0	0	0	0	0	0	0	0	0	4
OG634_1	0	0	0	0	0	0	0	0	0	0	4
OG5299_2	0	0	0	0	0	0	0	0	0	0	4
OG461_2	0	0	0	0	0	0	0	0	0	0	4
OG5706_2	0	0	0	0	0	0	0	0	0	0	4
OG461_1	0	0	0	0	0	0	0	0	0	0	4
OG6141_2	0	0	0	0	0	0	0	0	0	0	4
OG6233_2	0	0	0	0	0	0	0	0	0	0	4
OG6574_2	0	0	0	0	0	0	0	0	0	0	4
OG347_1	0	0	0	0	0	0	0	0	0	0	4
OG6659_2	0	0	0	0	0	0	0	0	0	0	4
OG6778_2	0	0	0	0	0	0	0	0	0	0	4
