Gene	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
DUMMY587	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G03630	-1	1	-1	4	-1	2	2	2	2	2	2
AT3G06670	-1	1	0	4	-1	2	2	2	2	2	2
AT2G34500	-1	1	0	1	1	2	2	2	2	2	2
AT5G09850	-1	1	0	4	0	2	2	2	2	2	2
AT5G26880	-1	1	0	2	0	2	2	2	2	2	2
AT2G34585	-1	1	0	2	0	2	2	2	2	2	2
AT1G04110	-1	1	0	2	3	2	2	2	2	2	2
AT2G36870	-1	1	0	2	2	2	2	2	2	2	2
AT3G25140	-1	1	0	2	2	2	2	2	2	2	2
AT5G21170	-1	1	-1	2	2	2	2	2	2	2	2
AT2G01650	-1	1	-1	2	2	2	2	2	2	2	2
AT1G80720	-1	1	-1	2	2	2	1	2	2	2	2
OG9340_1	-1	1	3	2	2	2	-1	2	2	2	2
DUMMY588	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G60900	3	-1	3	3	3	4	3	3	3	3	3
OG1904_1	3	-1	3	3	3	4	-1	3	3	3	3
AT4G18050	3	-1	3	3	3	0	0	3	3	3	3
OG3230_2	3	-1	3	3	3	0	-1	3	3	3	3
OG4372_2	3	-1	3	3	-1	0	-1	3	3	3	3
OG3593_2	3	-1	3	3	0	0	-1	3	3	3	3
OG4567_2	3	-1	0	3	2	0	-1	3	3	3	3
OG1771_2	3	-1	0	3	3	0	-1	3	3	3	3
OG3311_2	0	-1	3	3	3	0	-1	3	3	3	3
OG4329_2	0	-1	3	3	4	0	-1	3	3	3	3
DUMMY589	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG12426_1	7	7	3	7	-1	-1	-1	-1	-1	7	7
OG3949_1	7	7	3	7	-1	-1	-1	-1	-1	7	7
OG2185_1	7	7	2	7	-1	-1	-1	-1	-1	7	7
OG5229_2	7	7	2	7	-1	-1	-1	-1	-1	7	7
OG3489_1	7	7	7	7	-1	-1	-1	-1	-1	7	7
OG3801_1	7	7	7	7	-1	-1	-1	-1	-1	7	7
OG2784_1	7	7	7	7	-1	-1	-1	-1	-1	7	7
