Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT5G39990	-2	1	1	1	0	-1	3	3	0	0	0
OG292_5	-2	-2	1	1	-1	3	-2	3	0	0	0
OG299_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG299_2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG299_3	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT2G01680	-2	0	-2	0	-1	-2	0	0	0	0	0
AT3G12360	-2	-1	0	0	0	0	3	3	3	0	0
AT5G02620	-2	0	0	0	-1	0	0	0	0	0	0
OG304_4	-2	-2	-2	-2	0	-1	-2	0	0	0	0
AT2G41310	-2	-2	-2	-2	-2	0	0	0	3	0	0
AT3G57040	-2	-2	-2	-2	-2	-1	0	0	3	0	0
OG318_1	-2	-2	-2	0	-2	-2	-2	-2	-2	0	0
OG318_2	-2	-2	0	0	-2	-2	-2	-2	-2	0	0
OG319_1	-2	-2	-2	-2	-2	-2	-2	3	3	0	0
OG319_2	-2	0	-1	0	-2	-2	-2	-2	-2	0	0
OG319_3	-2	-2	-2	-2	-2	-1	-2	3	3	0	0
AT1G54610	-1	-2	-2	-2	1	1	1	1	1	3	0
AT5G50860	0	3	3	3	0	-1	0	3	3	0	0
OG325_3	-2	0	3	0	3	-1	-2	3	0	0	0
AT1G71530	-2	-2	-1	0	-1	-2	0	0	0	0	0
AT1G09600	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG334_1	0	0	-1	0	-2	3	-2	3	3	0	0
OG334_2	-2	-2	-2	-2	6	-1	-2	3	5	5	0
OG362_1	-2	-1	0	0	-2	-2	-2	-2	-2	0	0
OG362_2	-2	-2	-1	0	-2	-2	-2	-2	-2	0	0
OG364_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT1G24620	1	-1	-1	0	-1	0	0	0	0	0	0
OG364_3	-1	-1	0	0	1	-1	-2	1	1	1	0
AT5G37770	-2	-2	1	0	2	1	1	2	2	1	0
AT1G73630	-2	-2	-2	-2	2	2	2	2	2	1	0
OG365_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG365_2	-2	0	-2	0	-2	-2	-2	-2	-2	0	0
AT3G13910	-2	-2	-2	-2	-1	-2	0	0	0	0	0
AT5G11970	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT2G19460	-2	-1	0	0	-2	-1	0	0	0	0	0
OG365_6	-2	-2	-2	-2	-1	-2	-2	-2	0	0	0
OG365_7	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG378_1	-2	-1	2	6	3	2	-2	2	5	5	0
AT5G13930	-1	6	6	6	-1	-1	2	5	5	5	0
OG378_3	0	-2	-2	-2	-2	2	-2	5	5	5	0
OG378_4	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG394_1	-2	-2	-2	-2	-2	-1	-2	3	3	0	0
OG394_2	-2	-2	-2	-2	-2	3	-2	3	3	0	0
OG412_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG412_2	-2	-2	0	0	-2	-2	-2	-2	-2	0	0
OG413_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT5G39660	-2	-1	0	0	-2	0	-1	0	0	0	0
OG413_3	-2	-2	-2	-2	-2	-1	-2	0	0	0	0
AT1G26790	-2	-2	-2	-2	-1	-2	-1	0	0	0	0
OG413_5	-2	-2	-2	-2	-2	0	-2	0	0	0	0
AT5G13740	-2	-2	1	1	-2	0	0	0	0	0	0
AT5G13750	-2	-2	1	1	-1	0	-1	0	0	0	0
OG422_3	-2	-2	-2	-2	-2	-1	-2	0	0	0	0
OG436_1	-2	-2	-2	-2	-1	-2	-2	0	0	0	0
OG436_2	-2	-2	-2	-2	-1	0	-2	0	0	0	0
OG436_3	-2	-2	-2	-2	-2	0	-2	0	0	0	0
AT5G07900	-2	-2	-2	-2	0	0	0	0	0	0	0
AT1G61970	-2	-2	-2	-2	-2	0	-1	0	0	0	0
AT1G62120	-2	-2	-2	-2	-2	0	0	0	0	0	0
OG442_4	-2	-2	-2	-2	-2	-1	-2	0	0	0	0
AT2G16380	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT4G34580	-2	-2	-2	-2	-2	-1	0	0	0	0	0
AT4G39180	-2	0	0	0	-2	0	0	0	0	0	0
AT1G75370	-2	-2	-1	0	-2	-1	0	0	0	0	0
AT3G52870	-1	3	-1	3	1	1	3	1	1	1	0
OG455_2	-2	3	3	0	1	-2	-2	-2	1	0	0
OG455_3	-2	0	0	0	-2	-2	-2	-2	-2	0	0
OG455_4	-2	0	-1	0	-2	-2	-2	-2	-2	0	0
AT4G33050	-2	-2	-2	-2	3	-2	3	3	3	0	0
AT2G26190	-2	-2	-2	-2	-2	-2	3	3	3	0	0
AT5G58960	-2	-2	-2	-2	-1	0	0	0	0	0	0
AT3G60680	-2	0	0	0	-1	-1	0	0	0	0	0
AT4G36100	-2	1	1	1	-2	1	-1	1	1	1	0
AT4G34080	-2	0	-2	0	-2	0	-1	0	0	0	0
AT3G14870	-2	-2	-2	-2	-2	-1	0	0	0	0	0
OG468_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG468_2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT5G57685	-2	-2	-2	-2	-1	0	0	0	0	0	0
AT4G25760	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG473_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG473_2	-2	-1	0	0	-2	-2	-2	-2	-2	0	0
AT3G13810	0	-2	-2	-2	-2	-2	0	0	0	0	0
AT5G60470	-1	-2	-2	-2	-1	3	0	3	3	0	0
AT5G66730	-2	-1	0	0	3	3	3	3	0	0	0
AT5G44160	-2	-2	-1	0	0	0	0	3	0	0	0
OG491_1	-1	-2	-2	-2	-2	-2	-2	0	0	0	0
AT5G55370	-2	0	-1	0	-1	0	-1	3	0	0	0
AT5G55380	-2	-2	-2	-2	-2	-2	0	3	0	0	0
AT5G62000	-2	0	0	0	3	-1	3	3	3	0	0
OG493_2	-2	-1	0	0	0	-2	-2	-2	0	0	0
OG493_3	-2	0	0	0	-2	-2	-2	-2	-2	0	0
OG494_1	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G67470	-2	-2	-2	-2	0	3	3	3	0	0	0
AT3G25500	-2	0	-1	0	-1	3	3	3	3	0	0
AT2G43800	-2	-2	0	0	-2	-1	0	0	0	0	0
OG502_1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG502_2	-1	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG502_3	-2	-1	0	0	-2	0	-2	0	0	0	0
OG502_4	-2	-2	0	0	-2	0	-2	0	0	0	0
OG516_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT5G27420	-2	0	-1	0	-1	-1	-1	0	0	0	0
AT3G05200	-2	-2	-2	-2	0	0	3	0	0	0	0
AT3G22560	-1	-1	0	0	-2	-2	0	0	3	0	0
AT2G32030	-2	-1	0	0	3	0	0	3	3	0	0
AT2G32020	-2	-2	-2	-2	3	3	-1	3	3	0	0
OG518_4	-2	-2	-2	-2	-2	3	-2	3	3	0	0
OG525_1	3	-2	-2	-2	-2	-2	-2	0	0	0	0
AT5G07780	-1	-1	0	0	3	3	0	3	3	0	0
AT5G58160	-2	0	-1	0	3	-1	3	3	3	0	0
AT1G51200	-2	0	0	0	-2	0	0	0	0	0	0
OG527_2	-2	0	-1	0	0	0	-2	0	0	0	0
AT4G12040	-2	-1	-2	0	-1	-1	-1	0	0	0	0
