OG170_0	c2_AC004556.1,c4_AC004556.1,c1_AC004556.1,c3_AC004556.1
OG171_0	c2_AC004706.1,c4_AC004706.1,c1_AC004706.1,c3_AC004706.1
OG172_0	c2_AC004754.1,c4_AC004754.1,c1_AC004754.1,c3_AC004754.1
OG173_0	c2_AC004771.3,c4_AC004771.3,c1_AC004771.3,c3_AC004771.3
OG174_0	c2_AC004771.4,c4_AC004771.4,c1_AC004771.4,c3_AC004771.4
OG175_0	c2_AC004771.5,c4_AC004771.5,c1_AC004771.5,c3_AC004771.5
OG176_0	c2_AC004775.1,c4_AC004775.1,c1_AC004775.1,c3_AC004775.1
OG177_0	c2_AC004784.1,c4_AC004784.1,c1_AC004784.1,c3_AC004784.1
OG178_0	c2_AC004801.6,c4_AC004801.6,c1_AC004801.6,c3_AC004801.6
OG179_0	c2_AC004803.1,c4_AC004803.1,c1_AC004803.1,c3_AC004803.1
OG180_0	c2_AC004812.2,c4_AC004812.2,c1_AC004812.2,c3_AC004812.2
OG181_0	c2_AC004816.1,c4_AC004816.1,c1_AC004816.1,c3_AC004816.1
OG182_0	c2_AC004816.2,c4_AC004816.2,c1_AC004816.2,c3_AC004816.2
OG183_0	c2_AC004817.3,c4_AC004817.3,c1_AC004817.3,c3_AC004817.3
OG184_0	c2_AC004825.2,c4_AC004825.2,c1_AC004825.2,c3_AC004825.2
OG185_0	c2_AC004832.6,c4_AC004832.6,c1_AC004832.6,c3_AC004832.6
OG186_0	c2_AC004834.1,c4_AC004834.1,c1_AC004834.1,c3_AC004834.1
OG187_0	c2_AC004839.1,c4_AC004839.1,c1_AC004839.1,c3_AC004839.1
OG188_0	c2_AC004846.1,c4_AC004846.1,c1_AC004846.1,c3_AC004846.1
OG189_0	c2_AC004846.2,c4_AC004846.2,c1_AC004846.2,c3_AC004846.2
OG190_0	c2_AC004854.2,c4_AC004854.2,c1_AC004854.2,c3_AC004854.2
OG191_0	c2_AC004865.2,c4_AC004865.2,c1_AC004865.2,c3_AC004865.2
OG192_0	c2_AC004877.1,c4_AC004877.1,c1_AC004877.1,c3_AC004877.1
